epoch,loss,step,val_accuracy,val_loss
0,1.0015045404434204,49,,
0,,89,0.36575832962989807,0.8264950513839722
1,0.8919459581375122,99,,
1,0.5477151870727539,149,,
1,,179,0.45846205949783325,0.7011764049530029
2,0.5692980885505676,199,,
2,0.5290380120277405,249,,
2,,269,0.5252708196640015,0.6293780207633972
3,0.4272253215312958,299,,
3,0.3174891173839569,349,,
